"Frekvens","Allokering","Bruk"
"48 - 48.5 MHz (5.162A | 5.164 | ECA3 | ECA36)","LAND MOBILE","Land military systems | PMR | Wind profilers"
"48.5 - 50 MHz (5.162A | 5.164 | ECA3 | ECA36)","LAND MOBILE","Earth exploration-satellite | Land military systems | PMR | Wind profilers"
"50 - 51 MHz (5.162A | 5.164 | ECA3 | ECA36)","Amateur  | LAND MOBILE","Amateur | Land military systems | PMR | Wind profilers"
"51 - 52 MHz (5.162A | 5.164 | ECA3 | ECA36)","Amateur  | LAND MOBILE","Amateur | Land military systems | PMR | Wind profilers"
"52 - 54 MHz (5.162A | 5.164 | ECA3 | ECA36)","LAND MOBILE","Land military systems | PMR | Wind profilers"
"54 - 61 MHz (5.162A | 5.163 | 5.164 | ECA3 | ECA36)","LAND MOBILE","Land military systems | PMR | Wind profilers"
"61 - 68 MHz (5.162A | 5.164 | ECA3 | ECA36)","LAND MOBILE","Land military systems | PMR | Wind profilers"
"68 - 70.45 MHz (ECA36 | ECA4 | ECA9)","Amateur  | MOBILE","Amateur | Land military systems | Maritime military systems | PMR/PAMR"
"70.45 - 74.8 MHz (5.149 | ECA36 | ECA4 | ECA9)","Amateur  | MOBILE EXCEPT AERONAUTICAL MOBILE  | Radio Astronomy","Amateur | Land military systems | Maritime military systems | PMR/PAMR | Radio astronomy"
"74.8 - 75.2 MHz (5.180)","AERONAUTICAL RADIONAVIGATION","ILS"
"75.2 - 77.7 MHz (ECA36)","MOBILE","Land military systems | Maritime military systems | PMR/PAMR"
"77.7 - 77.8 MHz (ECA36)","MOBILE","Land military systems | Maritime military systems | PMR/PAMR"
"77.8 - 84.6 MHz (ECA36)","MOBILE","Land military systems | Maritime military systems | PMR/PAMR"
"84.6 - 85 MHz (ECA36)","MOBILE","Land military systems | Maritime military systems | PMR/PAMR"
"85 - 87.5 MHz (ECA36)","MOBILE","Land military systems | Maritime military systems | PMR/PAMR"
"87.5 - 100 MHz","BROADCASTING","FM sound analogue | Wireless audio/multimedia"
"100 - 108 MHz","BROADCASTING","FM sound analogue | Wireless audio/multimedia"
"108 - 117.975 MHz (5.197A)","AERONAUTICAL MOBILE (R)  | AERONAUTICAL RADIONAVIGATION","Aeronautical communications | GBAS | ILS | VOR"
"117.975 - 121.45 MHz (5.200 | ECA5)","AERONAUTICAL MOBILE-SATELLITE (R)","Aeronautical communications"
"121.45 - 121.55 MHz (5.111 | 5.200)","AERONAUTICAL MOBILE (R)","- | EPIRBs"
"121.55 - 136 MHz (5.200 | 5.201 | ECA5)","AERONAUTICAL MOBILE (R)","Aeronautical communications"
"136 - 137 MHz (5.202 | ECA5)","AERONAUTICAL MOBILE (R)","Aeronautical communications"
"137 - 137.025 MHz (5.206 | 5.208 | ECA36 | ECA6)","METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)  | MOBILE  | MOBILE-SATELLITE (SPACE-TO-EARTH) (5.208B | 5.208B | 5.208B) | Space Operation (space-to-Earth)  | Space Research (space-to-Earth)","Aeronautical military systems | Land military systems | Land mobile | S-PCS | Satellite systems (military) | Weather satellites"
"137.025 - 137.175 MHz (5.206 | 5.208 | ECA36 | ECA6)","METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)  | MOBILE  | MOBILE-SATELLITE (SPACE-TO-EARTH) (5.208B | 5.208B | 5.208B) | Space Operation (space-to-Earth)  | Space Research (space-to-Earth)","Aeronautical military systems | Land military systems | Land mobile | S-PCS | Satellite systems (military) | Weather satellites"
"137.175 - 137.825 MHz (5.206 | 5.208 | ECA36 | ECA6)","METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)  | MOBILE  | MOBILE-SATELLITE (SPACE-TO-EARTH) (5.208B | 5.208B | 5.208B) | Space Operation (space-to-Earth)  | Space Research (space-to-Earth)","Aeronautical military systems | Land military systems | Land mobile | S-PCS | Satellite systems (military) | Weather satellites"
"137.825 - 138 MHz (5.206 | 5.208 | ECA36 | ECA6)","METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)  | MOBILE  | Mobile-Satellite (space-to-Earth) (5.208B | 5.208B | 5.208B) | Space Operation (space-to-Earth)  | Space Research (space-to-Earth)","Aeronautical military systems | Land military systems | Land mobile | S-PCS | Satellite systems (military) | Weather satellites"
"138 - 143.6 MHz (5.211 | ECA36 | ECA5)","AERONAUTICAL MOBILE (OR)  | LAND MOBILE  | Space Research (space-to-Earth)","Aeronautical military systems | Land military systems | Land mobile | Maritime military systems | Non-specific SRDs"
"143.6 - 143.65 MHz (5.211 | ECA36 | ECA5)","AERONAUTICAL MOBILE (OR)  | LAND MOBILE  | SPACE RESEARCH (SPACE-TO-EARTH)","Aeronautical military systems | Land military systems | Land mobile | Maritime military systems"
"143.65 - 144 MHz (5.211 | ECA36 | ECA5)","AERONAUTICAL MOBILE (OR)  | LAND MOBILE","Aeronautical military systems | Land military systems | Land mobile | Maritime military systems"
"144 - 146 MHz","AMATEUR  | AMATEUR-SATELLITE","Amateur | Amateur-satellite"
"146 - 146.8 MHz (ECA7)","MOBILE","PMR/PAMR"
"146.8 - 148 MHz (ECA7)","MOBILE","PMR/PAMR"
"148 - 148.4 MHz (5.218 | 5.219 | 5.221 | ECA6 | ECA7)","MOBILE  | MOBILE-SATELLITE (EARTH-TO-SPACE) (5.209)","PMR/PAMR | S-PCS"
"148.4 - 149.9 MHz (5.218 | 5.219 | 5.221 | ECA6 | ECA7)","MOBILE  | MOBILE-SATELLITE (EARTH-TO-SPACE) (5.209)","PMR/PAMR | S-PCS"
"149.9 - 150.05 MHz (ECA6)","MOBILE  | MOBILE-SATELLITE (EARTH-TO-SPACE) (5.209 | 5.209)","PMR/PAMR | S-PCS"
"150.05 - 153 MHz (5.149 | ECA7)","MOBILE EXCEPT AERONAUTICAL MOBILE  | RADIO ASTRONOMY","PMR/PAMR | Radio astronomy"
"153 - 154 MHz (ECA7)","MOBILE EXCEPT AERONAUTICAL MOBILE (R)","PMR/PAMR"
"154 - 156.4875 MHz (5.226 | ECA7 | ECA8)","MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Maritime communications | PMR/PAMR"
"156.4875 - 156.5125 MHz (5.226 | 5.227 | ECA7 | ECA8)","MARITIME MOBILE (DISTRESS AND CALLING VIA DSC)","Maritime communications"
"156.5125 - 156.5375 MHz (5.111 | 5.226)","MARITIME MOBILE (DISTRESS AND CALLING VIA DSC)","DSC"
"156.5375 - 156.5625 MHz (5.226 | 5.227 | ECA7 | ECA8)","MARITIME MOBILE (DISTRESS AND CALLING VIA DSC)  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Maritime communications"
"156.5625 - 156.7625 MHz (5.226 | ECA7 | ECA8)","MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Maritime communications"
"156.7625 - 156.7875 MHz (5.111 | 5.226 | 5.228)","MARITIME MOBILE (DISTRESS AND CALLING)","Maritime communications"
"156.7875 - 156.8125 MHz (5.111 | 5.226)","MARITIME MOBILE (DISTRESS AND CALLING)","Maritime communications"
"156.8125 - 156.8375 MHz (5.111 | 5.226 | 5.228)","MARITIME MOBILE","Maritime communications"
"156.8375 - 161.9375 MHz (5.226 | ECA7 | ECA8)","MOBILE EXCEPT AERONAUTICAL MOBILE","Maritime communications | PMR/PAMR"
"161.9375 - 161.9625 MHz (5.226 | ECA7 | ECA8)","Maritime Mobile-Satellite (Earth-to-space) (5.228AA) | MOBILE EXCEPT AERONAUTICAL MOBILE","Maritime communications | PMR/PAMR"
"161.9875 - 162.0125 MHz (5.226 | ECA7 | ECA8)","MARITIME MOBILE-SATELLITE (EARTH-TO-SPACE) (5.228AA) | MOBILE EXCEPT AERONAUTICAL MOBILE","Maritime communications"
"162.0125 - 162.0375 MHz (5.226 | ECA7 | ECA8)","MOBILE EXCEPT AERONAUTICAL MOBILE","AIS | Maritime communications"
"162.0375 - 174 MHz (ECA7)","MOBILE EXCEPT AERONAUTICAL MOBILE","Aids for hearing impaired | Meter reading | Non-specific SRDs | PMR/PAMR | Radio microphones and ALD"
"174 - 223 MHz (5.235)","BROADCASTING  | LAND MOBILE","Broadcasting (terrestrial) | Radio microphones and ALD"
"223 - 225 MHz","BROADCASTING","Broadcasting (terrestrial)"
"225 - 230 MHz (ECA10 | ECA36)","BROADCASTING  | Land Mobile","Broadcasting (terrestrial) | Defence systems"
"230 - 235 MHz (ECA10 | ECA36)","MOBILE","Defence systems | T-DAB"
"235 - 240 MHz (5.254 | ECA10 | ECA36)","MOBILE","Defence systems | T-DAB"
"240 - 242.95 MHz (5.254 | ECA10 | ECA36)","MOBILE","Defence systems"
"242.95 - 243.05 MHz (5.111 | 5.254 | 5.256)","AERONAUTICAL MOBILE","EPIRBs"
"243.05 - 267 MHz (5.254 | ECA10 | ECA36)","MOBILE","Defence systems"
"267 - 272 MHz (5.254 | 5.257 | ECA10 | ECA36)","MOBILE","Defence systems"
"272 - 273 MHz (5.254 | ECA10 | ECA36)","MOBILE","Defence systems"
"273 - 312 MHz (5.254 | ECA10 | ECA36)","MOBILE","Defence systems"
"312 - 315 MHz (5.254 | 5.255 | ECA10 | ECA36)","MOBILE","Defence systems"
"315 - 322 MHz (5.254 | ECA10 | ECA36)","MOBILE","Defence systems"
"322 - 328.6 MHz (5.149 | ECA10 | ECA36)","MOBILE  | RADIO ASTRONOMY","Defence systems | Radio astronomy"
"328.6 - 335.4 MHz (5.258)","AERONAUTICAL RADIONAVIGATION","ILS"
"335.4 - 380 MHz (5.254 | ECA10 | ECA36 | ECA7)","MOBILE","Defence systems"
"380 - 385 MHz (5.254 | ECA10 | ECA36)","MOBILE","Defence systems | PPDR"
"385 - 387 MHz (5.254 | ECA10 | ECA36)","MOBILE","Defence systems | PMR/PAMR"
"387 - 390 MHz (ECA10 | ECA36)","MOBILE","Defence systems | PMR/PAMR"
"390 - 395 MHz (5.254 | ECA10 | ECA36)","MOBILE","Defence systems | PPDR"
"395 - 399.9 MHz (5.254 | ECA10 | ECA36)","MOBILE","Defence systems | PMR/PAMR"
"399.9 - 400.05 MHz","MOBILE-SATELLITE (EARTH-TO-SPACE) (5.209 | 5.209)","PPDR"
"400.05 - 400.15 MHz (5.261 | 5.262)","STANDARD FREQUENCY AND TIME SIGNAL-SATELLITE (400.1 MHZ)","PPDR"
"400.15 - 401 MHz (5.262 | 5.264)","METEOROLOGICAL AIDS  | METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)  | MOBILE-SATELLITE (SPACE-TO-EARTH) (5.208B | 5.208B | 5.208B) | SPACE OPERATION (SPACE-TO-EARTH)  | SPACE RESEARCH (SPACE-TO-EARTH) (5.263)","PPDR | S-PCS | Sondes | Weather satellites"
"401 - 402 MHz","EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE)  | METEOROLOGICAL AIDS  | METEOROLOGICAL-SATELLITE (EARTH-TO-SPACE)","Active medical implants | Sondes | Weather satellites"
"402 - 403 MHz","EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE)  | METEOROLOGICAL AIDS  | METEOROLOGICAL-SATELLITE (EARTH-TO-SPACE)","Active medical implants | Sondes | Weather satellites"
"403 - 406 MHz (5.265)","METEOROLOGICAL AIDS","Active medical implants | Sondes"
"406 - 406.1 MHz (5.265 | 5.266 | 5.267)","MOBILE-SATELLITE (EARTH-TO-SPACE)","EPIRBs"
"406.1 - 410 MHz (5.149 | 5.265 | ECA36)","LAND MOBILE  | RADIO ASTRONOMY","Land military systems | Maritime military systems | PMR/PAMR | Radio astronomy"
"410 - 420 MHz (ECA36)","MOBILE EXCEPT AERONAUTICAL MOBILE","Land military systems | Maritime military systems | PMR/PAMR"
"420 - 430 MHz (ECA36 | ECA7)","MOBILE EXCEPT AERONAUTICAL MOBILE  | Radiolocation","Land military systems | Maritime military systems | PMR/PAMR | Radiolocation (military)"
"430 - 432 MHz (ECA12 | ECA36)","AMATEUR  | RADIOLOCATION","Amateur | Radiolocation (military)"
"432 - 433.05 MHz (ECA12 | ECA36)","AMATEUR  | Earth Exploration-Satellite (active) (5.279A) | RADIOLOCATION","Active sensors (satellite) | Amateur | Radiolocation (military)"
"433.05 - 434.79 MHz (5.138 | 5.280 | ECA12 | ECA36)","AMATEUR  | Earth Exploration-Satellite (active) (5.279A) | Land Mobile  | RADIOLOCATION","Active sensors (satellite) | Amateur | ISM | Non-specific SRDs | Radiolocation (military)"
"434.79 - 438 MHz (ECA12 | ECA36)","AMATEUR  | AMATEUR-SATELLITE  | Earth Exploration-Satellite (active) (5.279A) | RADIOLOCATION","Active sensors (satellite) | Amateur | Amateur-satellite | Radiolocation (military)"
"438 - 440 MHz (ECA12 | ECA36)","AMATEUR  | RADIOLOCATION","Amateur | Radiolocation (military)"
"440 - 450 MHz (ECA36 | ECA7)","MOBILE EXCEPT AERONAUTICAL MOBILE  | Radiolocation","Land military systems | Maritime military systems | On-site paging | PMR 446 | PMR/PAMR | Radiolocation (military) | Wind profilers"
"450 - 455 MHz (ECA34 | ECA7)","MOBILE","On-site paging | PMR/PAMR"
"455 - 456 MHz (ECA34 | ECA7)","MOBILE","Land mobile | On-site paging | PMR/PAMR"
"456 - 459 MHz (5.287 | ECA34 | ECA7)","MOBILE","Land mobile | On-board communications | PMR/PAMR"
"459 - 460 MHz (ECA7)","MOBILE","Land mobile | On-board communications | On-site paging | PMR/PAMR"
"460 - 470 MHz (5.287 | 5.289 | ECA34 | ECA7)","MOBILE","Land mobile | Meteorological aids (military) | On-board communications | On-site paging | PMR/PAMR | Space research"
"470 - 694 MHz (5.149 | 5.291A | 5.296 | 5.306 | 5.311A | ECA13)","BROADCASTING","Broadcasting (terrestrial) | PMSE | Radio astronomy | Radio microphones and ALD | Wind profilers"
"694 - 790 MHz (5.300 | 5.311A | 5.312)","BROADCASTING  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.312A | 5.312A)","Broadcasting (terrestrial) | MFCN | PMSE | PPDR | Radio microphones and ALD"
"790 - 862 MHz (5.312 | ECA13)","BROADCASTING  | MOBILE EXCEPT AERONAUTICAL MOBILE","- | Broadcasting (terrestrial) | MFCN | PMSE | Radio microphones and ALD"
"862 - 890 MHz (5.317A | 5.323 | ECA13 | ECA29 | ECA32 | ECA36)","MOBILE","- | Alarms | GSM | GSM-R | IMT | Land military systems | MCV | Maritime military systems | Non-specific SRDs | PMR/PAMR | RFID | Radio microphones and ALD | TTT | Tracking, tracing and data acquisition | Wireless audio/multimedia"
"890 - 942 MHz (5.317A | 5.323 | ECA13 | ECA14 | ECA29 | ECA30 | ECA32 | ECA36)","MOBILE  | Radiolocation","- | GSM | GSM-R | IMT | Land military systems | MCV | Maritime military systems | Non-specific SRDs | PMR/PAMR | RFID | Radio microphones and ALD"
"942 - 960 MHz (5.317A | 5.323 | ECA13 | ECA29 | ECA32)","MOBILE","GSM | IMT | MCV"
"960 - 1164 MHz (5.328AA | ECA36)","AERONAUTICAL MOBILE (R) (5.327A) | AERONAUTICAL RADIONAVIGATION (5.328)","Aeronautical military systems | Aeronautical navigation"
"1164 - 1215 MHz (5.328A | ECA36)","AERONAUTICAL RADIONAVIGATION (5.328) | RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH) (SPACE-TO-SPACE) (5.328B)","Aeronautical military systems | Aeronautical navigation | GALILEO | GLONASS | GNSS Repeater | Satellite systems (military)"
"1215 - 1240 MHz (5.331 | 5.332 | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | RADIOLOCATION  | RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH) (SPACE-TO-SPACE) (5.329A | 5.329A | 5.329A) | SPACE RESEARCH (ACTIVE)","Active sensors (satellite) | GLONASS | GNSS Repeater | GPS | Radiolocation (civil) | Radiolocation (military) | Satellite systems (military)"
"1240 - 1260 MHz (5.331 | 5.332 | ECA36)","Amateur  | EARTH EXPLORATION-SATELLITE (ACTIVE)  | RADIOLOCATION  | RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH) (SPACE-TO-SPACE) (5.329A | 5.329A | 5.329A) | SPACE RESEARCH (ACTIVE)","Active sensors (satellite) | Amateur | GLONASS | GNSS Repeater | Radiolocation (civil) | Radiolocation (military) | Satellite systems (military)"
"1260 - 1270 MHz (5.282 | 5.331 | 5.335A | ECA36)","Amateur  | Amateur-Satellite  | EARTH EXPLORATION-SATELLITE (ACTIVE)  | RADIOLOCATION  | RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH) (SPACE-TO-SPACE) (5.329A | 5.329A | 5.329A) | SPACE RESEARCH (ACTIVE)","Active sensors (satellite) | Amateur | Amateur-satellite | GALILEO | GNSS Repeater | Radiolocation (civil) | Radiolocation (military) | Satellite systems (military)"
"1270 - 1300 MHz (5.331 | 5.335A | ECA36)","Amateur  | EARTH EXPLORATION-SATELLITE (ACTIVE)  | RADIOLOCATION  | RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH) (SPACE-TO-SPACE) (5.329A | 5.329A | 5.329A) | SPACE RESEARCH (ACTIVE)","Active sensors (satellite) | Amateur | GALILEO | GNSS Repeater | Radiolocation (civil) | Radiolocation (military) | Satellite systems (military) | Wind profilers"
"1300 - 1350 MHz (5.149 | 5.337A | ECA36)","AERONAUTICAL RADIONAVIGATION (5.337) | RADIOLOCATION  | RADIONAVIGATION-SATELLITE (EARTH-TO-SPACE)","Radio astronomy | Radiolocation (civil) | Radiolocation (military) | Satellite navigation systems | Satellite systems (military)"
"1350 - 1400 MHz (5.149 | 5.338A | 5.339 | ECA36)","FIXED  | MOBILE  | RADIOLOCATION","Aeronautical military systems | Fixed | Land military systems | Maritime military systems | Radio astronomy | Radiolocation (military)"
"1400 - 1427 MHz (5.340 | 5.341)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"1427 - 1429 MHz (5.338A | 5.341 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE  | SPACE OPERATION (EARTH-TO-SPACE)","Fixed | Land military systems | Maritime military systems"
"1429 - 1452 MHz (5.338A | 5.341 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","Fixed | Land military systems | Maritime military systems"
"1452 - 1492 MHz (5.341 | 5.342 | 5.345)","BROADCASTING  | Fixed  | MOBILE EXCEPT AERONAUTICAL MOBILE","MFCN | T-DAB"
"1492 - 1518 MHz (5.341 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","Fixed | Land military systems | Maritime military systems | Radio microphones and ALD"
"1518 - 1525 MHz (5.341 | ECA15 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE  | MOBILE-SATELLITE (SPACE-TO-EARTH) (5.351A | 5.351A | 5.351A | 5.351A)","Fixed | IMT-2000 satellite component | Land military systems | MSS Earth stations | Maritime military systems"
"1525 - 1530 MHz (5.341 | 5.351 | 5.354)","FIXED  | MOBILE-SATELLITE (SPACE-TO-EARTH) (5.208B | 5.208B) | SPACE OPERATION (SPACE-TO-EARTH)","Fixed | IMT-2000 satellite component | MSS Earth stations"
"1530 - 1533 MHz (5.341 | 5.351 | 5.354)","Earth Exploration-Satellite  | Fixed  | Mobile except aeronautical mobile  | MOBILE-SATELLITE (SPACE-TO-EARTH) (5.208B | 5.208B | 5.208B) | SPACE OPERATION (SPACE-TO-EARTH)","IMT-2000 satellite component | MSS Earth stations"
"1533 - 1535 MHz (5.341 | 5.351 | 5.354)","Earth Exploration-Satellite  | Mobile except aeronautical mobile  | MOBILE-SATELLITE (SPACE-TO-EARTH) (5.208B | 5.208B | 5.208B) | SPACE OPERATION (SPACE-TO-EARTH)","IMT-2000 satellite component | MSS Earth stations"
"1535 - 1559 MHz (5.341 | 5.351 | 5.353A | 5.354 | 5.356 | 5.357 | 5.357A | 5.359)","MOBILE-SATELLITE (SPACE-TO-EARTH) (5.208B | 5.208B)","IMT-2000 satellite component | MSS Earth stations"
"1559 - 1610 MHz (5.341)","AERONAUTICAL RADIONAVIGATION  | RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH) (5.208B) | RADIONAVIGATION-SATELLITE (SPACE-TO-SPACE) (5.329A | 5.329A)","GALILEO | GLONASS | GNSS Pseudolites | GNSS Repeater | GPS"
"1610 - 1610.6 MHz (5.341 | 5.359 | 5.364 | 5.366 | 5.367 | 5.368 | 5.371 | 5.372)","AERONAUTICAL RADIONAVIGATION  | MOBILE-SATELLITE (EARTH-TO-SPACE) (5.351A)","GLONASS | IMT-2000 satellite component | MSS Earth stations"
"1610.6 - 1613.8 MHz (5.149 | 5.341 | 5.359 | 5.364 | 5.366 | 5.367 | 5.368 | 5.371 | 5.372)","AERONAUTICAL RADIONAVIGATION  | MOBILE-SATELLITE (EARTH-TO-SPACE) (5.351A) | RADIO ASTRONOMY","IMT-2000 satellite component | MSS Earth stations | Radio astronomy"
"1613.8 - 1626.5 MHz (5.341 | 5.359 | 5.364 | 5.365 | 5.366 | 5.367 | 5.368 | 5.371 | 5.372)","AERONAUTICAL RADIONAVIGATION  | MOBILE-SATELLITE (EARTH-TO-SPACE) (5.351A) | Mobile-Satellite (space-to-Earth) (5.208B)","IMT-2000 satellite component | MSS Earth stations"
"1626.5 - 1660 MHz (5.341 | 5.351 | 5.353A | 5.354 | 5.359)","MOBILE-SATELLITE (EARTH-TO-SPACE) (5.351A)","IMT-2000 satellite component | MSS Earth stations"
"1660 - 1660.5 MHz (5.149 | 5.341 | 5.351 | 5.354 | 5.376A)","MOBILE-SATELLITE (EARTH-TO-SPACE) (5.351A) | RADIO ASTRONOMY","IMT-2000 satellite component | MSS Earth stations | Radio astronomy"
"1660.5 - 1668 MHz (5.149 | 5.341 | 5.379A)","Fixed  | Mobile except aeronautical mobile  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Radio astronomy"
"1668 - 1668.4 MHz (5.149 | 5.341 | 5.379A)","Fixed  | Mobile except aeronautical mobile  | MOBILE-SATELLITE (EARTH-TO-SPACE) (5.351A | 5.351A | 5.351A) | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","IMT-2000 satellite component | Radio astronomy"
"1668.4 - 1670 MHz (5.149 | 5.341 | 5.379D | 5.379E)","FIXED  | METEOROLOGICAL AIDS  | MOBILE EXCEPT AERONAUTICAL MOBILE  | MOBILE-SATELLITE (EARTH-TO-SPACE) (5.351A | 5.351A | 5.351A) | RADIO ASTRONOMY","IMT-2000 satellite component | Meteorology | Radio astronomy"
"1670 - 1675 MHz (5.341 | 5.379D | 5.379E | 5.380A)","Fixed  | METEOROLOGICAL AIDS  | METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)  | MOBILE  | MOBILE-SATELLITE (EARTH-TO-SPACE) (5.351A | 5.351A)","IMT-2000 satellite component | MSS Earth stations | Meteorology | Weather satellites"
"1675 - 1690 MHz (5.341 | ECA36)","FIXED  | METEOROLOGICAL AIDS  | METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)  | MOBILE EXCEPT AERONAUTICAL MOBILE","Land military systems | Maritime military systems | Meteorological aids (military) | Sondes | Weather satellites"
"1690 - 1700 MHz (5.289 | 5.341 | 5.382 | ECA36)","Fixed  | METEOROLOGICAL AIDS  | METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)  | Mobile except aeronautical mobile","Land military systems | Meteorological aids (military) | Weather satellites"
"1700 - 1710 MHz (5.289 | 5.341 | ECA36)","FIXED  | METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)  | Mobile except aeronautical mobile","Land military systems | Maritime military systems | Meteorological aids (military) | Weather satellites"
"1710 - 1785 MHz (5.149 | 5.341 | 5.385 | ECA29)","FIXED  | MOBILE (5.384A)","GSM | IMT | MCA | MCV | Radio astronomy"
"1785 - 1800 MHz (ECA36)","FIXED  | MOBILE","- | Land military systems | Land mobile | Radio microphones and ALD | Wireless audio/multimedia"
"1800 - 1805 MHz (ECA36)","Fixed  | MOBILE","- | Land military systems | Wireless audio/multimedia"
"1805 - 1880 MHz (ECA29)","FIXED  | MOBILE (5.384A)","GSM | IMT | MCA | MCV"
"1880 - 1885 MHz","Fixed  | MOBILE (5.384A)","DECT"
"1885 - 1900 MHz (5.388)","Fixed  | MOBILE (5.388A)","DECT"
"1900 - 1930 MHz (5.388 | ECA29)","Fixed  | MOBILE (5.388A)","- | DA2GC | MCA | MCV | MFCN"
"1930 - 1970 MHz (5.388 | ECA29)","Fixed  | MOBILE (5.388A)","- | MCA | MCV | MFCN"
"1970 - 1980 MHz (5.388 | ECA29)","Fixed  | MOBILE (5.388A)","- | MCA | MCV | MFCN"
"1980 - 2010 MHz (5.388 | 5.389A)","Fixed  | MOBILE  | MOBILE-SATELLITE (EARTH-TO-SPACE) (5.351A)","- | MSS Earth stations"
"2010 - 2025 MHz (5.388)","Fixed  | MOBILE (5.388A)","- | IMT | PMSE"
"2025 - 2110 MHz (5.392 | ECA16A | ECA36)","EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE) (SPACE-TO-SPACE)  | FIXED  | MOBILE (5.391) | SPACE OPERATION (EARTH-TO-SPACE) (SPACE-TO-SPACE)  | SPACE RESEARCH (EARTH-TO-SPACE) (SPACE-TO-SPACE)","Aeronautical military systems | Fixed | Land military systems | Maritime military systems | PMSE | Space research | Telemetry/Telecommand (military)"
"2110 - 2120 MHz (5.388 | ECA29)","Fixed  | MOBILE (5.388A) | SPACE RESEARCH (DEEP SPACE) (EARTH-TO-SPACE)","- | MCA | MCV | MFCN"
"2120 - 2170 MHz (5.388 | ECA29)","Fixed  | MOBILE (5.388A)","- | MCA | MCV | MFCN"
"2170 - 2200 MHz (5.388 | 5.389A)","Fixed  | MOBILE  | MOBILE-SATELLITE (SPACE-TO-EARTH) (5.351A)","- | MSS Earth stations"
"2200 - 2290 MHz (5.392 | ECA16A | ECA36)","EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH) (SPACE-TO-SPACE)  | FIXED  | MOBILE (5.391) | SPACE OPERATION (SPACE-TO-EARTH) (SPACE-TO-SPACE)  | SPACE RESEARCH (SPACE-TO-EARTH) (SPACE-TO-SPACE)","Aeronautical military systems | Fixed | Land military systems | Maritime military systems | PMSE | Radio astronomy | Space research | Telemetry/Telecommand (military)"
"2290 - 2300 MHz","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE  | SPACE RESEARCH (DEEP SPACE) (SPACE-TO-EARTH)","Land mobile | Space research"
"2300 - 2400 MHz (ECA36)","Amateur  | FIXED  | MOBILE (5.384A) | Radiolocation","Aeronautical military systems | Aeronautical telemetry | Amateur | Land military systems | MFCN | Maritime military systems | PMSE | Telemetry/Telecommand (military)"
"2400 - 2450 MHz (5.150 | 5.282)","Amateur  | Amateur-Satellite  | FIXED  | MOBILE  | Radiolocation","Amateur | Amateur-satellite | ISM | Non-specific SRDs | RFID | Radiodetermination applications | Wideband data transmission systems"
"2450 - 2483.5 MHz (5.150)","FIXED  | MOBILE","ISM | Non-specific SRDs | RFID | Radiodetermination applications | Wideband data transmission systems"
"2483.5 - 2500 MHz (5.150 | 5.399 | 5.402)","FIXED  | MOBILE  | MOBILE-SATELLITE (SPACE-TO-EARTH) (5.351A)","Active medical implants | IMT-2000 satellite component | ISM | Land mobile | MBANS | MSS Earth stations | PMSE"
"2500 - 2520 MHz","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.384A)","MCV | MFCN"
"2520 - 2655 MHz (5.339 | 5.418B | 5.418C | ECA16)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.384A)","MCV | MFCN | PMSE"
